date;CRC_ID;observed;predicted_circuit
10/04/2017;7749;13,88;8,30876181
17/04/2017;7749;7,32;5,571214644
24/04/2017;7749;15,66;11,10172901
01/05/2017;7749;6,42;14,35017732
08/05/2017;7749;7,06;3,724605618
15/05/2017;7749;7,58;6,859209558
22/05/2017;7749;7,34;7,275792632
29/05/2017;7749;7,6;7,170644526
05/06/2017;7749;16,6;11,54562662
12/06/2017;7749;24,44;19,17408423
19/06/2017;7749;8,8;13,80378181
26/06/2017;7749;7,8;9,115762727
03/07/2017;7749;7,64;8,343632788
10/07/2017;7749;7,56;8,116742697
17/07/2017;7749;7,4;7,960410083
24/07/2017;7749;7,68;7,763688047
31/07/2017;7749;7,64;7,885021123
07/08/2017;7749;7,1;7,81388906
14/08/2017;7749;14,16;11,55103844
21/08/2017;7749;6,8;9,383691227
28/08/2017;7749;8,56;7,253195354
04/09/2017;7749;7,9;8,399520185
11/09/2017;7749;8,84;7,96766837
18/09/2017;7749;12,32;8,616402598
25/09/2017;7749;7,62;11,11732376
02/10/2017;7749;17,02;12,20894124
09/10/2017;7749;8,28;11,66285603
16/10/2017;7749;9,06;8,680775927
23/10/2017;7749;10,42;9,146958007
30/10/2017;7749;17,28;14,24221953
06/11/2017;7749;7,68;12,06537532
13/11/2017;7749;8,1;8,446991877
20/11/2017;7749;7,72;8,582654279
27/11/2017;7749;15,82;12,36804209
04/12/2017;7749;14,9;15,04719689
11/12/2017;7749;6,88;10,40576693
18/12/2017;7749;7,9;7,750837892
25/12/2017;7749;9,24;12,44227069
01/01/2018;7749;8,44;10,37637152
08/01/2018;7749;6,88;5,419994437
15/01/2018;7749;9,3;7,012152948
22/01/2018;7749;9,18;8,69109251
29/01/2018;7749;7,66;8,733906277
05/02/2018;7749;7,64;7,755356657
12/02/2018;7749;6,7;7,721295315
19/02/2018;7749;7,08;7,041387593
26/02/2018;7749;8,18;7,237916649
05/03/2018;7749;7,94;7,980592536
12/03/2018;7749;7,84;7,853077214
19/03/2018;7749;9,72;7,800748739
26/03/2018;7749;14,54;17,44351225
02/04/2018;7749;7,16;6,796942662
09/04/2018;7749;7,68;7,333514342
16/04/2018;7749;7,38;7,663906452
23/04/2018;7749;17,36;11,61009386
30/04/2018;7749;17,98;15,70250791
07/05/2018;7749;14,24;12,33225165
14/05/2018;7749;8;12,93702282
21/05/2018;7749;8,82;8,809239531
28/05/2018;7749;18,58;13,37252313
04/06/2018;7749;14,12;17,24231058
11/06/2018;7749;40,42;14,37705844
18/06/2018;7749;25,76;28,71578871
25/06/2018;7749;24,72;22,88727237
02/07/2018;7749;12,5;22,75509255
09/07/2018;7749;8,12;14,54871453
16/07/2018;7749;8,62;11,03113722
23/07/2018;7749;7,76;10,77446719
30/07/2018;7749;7,28;9,717081076
06/08/2018;7749;8,2;8,968984154
13/08/2018;7749;15,68;13,41866627
20/08/2018;7749;6,62;11,3867864
27/08/2018;7749;7,72;7,956371988
03/09/2018;7749;8,24;8,452408555
10/09/2018;7749;7,68;8,665829505
17/09/2018;7749;9,76;8,181792287
24/09/2018;7749;8,76;9,543599951
01/10/2018;7749;16,72;13,03806555
08/10/2018;7749;8,8;11,54154308
15/10/2018;7749;8,64;9,100336094
22/10/2018;7749;9,44;8,924645732
29/10/2018;7749;18,06;13,58361763
05/11/2018;7749;9,32;12,5806696
12/11/2018;7749;9,48;9,624163816
19/11/2018;7749;7,26;9,673338186
26/11/2018;7749;17,68;12,22169853
03/12/2018;7749;14,78;16,47128531
10/12/2018;7749;7,02;10,52478006
17/12/2018;7749;7,94;8,003181409
24/12/2018;7749;9,28;12,60058122
31/12/2018;7749;9,34;10,50992081
07/01/2019;7749;5,82;6,140441705
14/01/2019;7749;6,26;6,387975612
21/01/2019;7749;6,92;6,579394329
28/01/2019;7749;6,54;6,977983971
04/02/2019;7749;6,74;6,697870304
11/02/2019;7749;6,32;6,805870722
18/02/2019;7749;10,96;6,495898205
25/02/2019;7749;25,46;9,731239053
